Feb 21 00:06:41 control k3s[5865]: time="2026-02-21T00:06:41Z" level=info msg="Proxy done" err="context canceled" url="wss://127.0.0.1:6443/v1-k3s/connect"
Feb 21 00:06:41 control k3s[5865]: time="2026-02-21T00:06:41Z" level=info msg="error in remotedialer server [400]: websocket: close 1006 (abnormal closure): unexpected EOF"
Feb 21 00:06:41 control k3s[5865]: time="2026-02-21T00:06:41Z" level=info msg="Handling backend connection request [control]"
Feb 21 00:06:41 control k3s[5865]: time="2026-02-21T00:06:41Z" level=info msg="Connected to proxy" url="wss://192.168.56.10:6443/v1-k3s/connect"
Feb 21 00:06:41 control k3s[5865]: time="2026-02-21T00:06:41Z" level=info msg="Remotedialer connected to proxy" url="wss://192.168.56.10:6443/v1-k3s/connect"
Feb 21 00:06:41 control k3s[5865]: I0221 00:06:41.476738    5865 swap_util.go:78] "error creating dir to test if tmpfs noswap is enabled. Assuming not supported" mount path="" error="stat /var/lib/kubelet/plugins/kubernetes.io/empty-dir: no such file or directory"
Feb 21 00:06:44 control k3s[5865]: I0221 00:06:44.486421    5865 kuberuntime_manager.go:2062] "Updating runtime config through cri with podcidr" CIDR="10.42.0.0/24"
Feb 21 00:06:44 control k3s[5865]: I0221 00:06:44.489971    5865 kubelet_network.go:47] "Updating Pod CIDR" originalPodCIDR="" newPodCIDR="10.42.0.0/24"
Feb 21 00:06:45 control k3s[5865]: time="2026-02-21T00:06:45Z" level=info msg="Starting network policy controller version v2.6.3-k3s1, built on 2026-02-12T23:46:55Z, go1.25.6"
Feb 21 00:06:45 control k3s[5865]: I0221 00:06:45.339701    5865 network_policy_controller.go:164] Starting network policy controller
Feb 21 00:06:45 control k3s[5865]: I0221 00:06:45.682772    5865 network_policy_controller.go:179] Starting network policy controller full sync goroutine
Feb 21 00:06:47 control k3s[5865]: E0221 00:06:47.500939    5865 log.go:32] "RunPodSandbox from runtime service failed" err="rpc error: code = Unknown desc = failed to start sandbox \"89bafcccb1518b3e7d2bcb27b906ecd1a8a01e7e2547755a1d164627bcad43a2\": failed to get sandbox image \"rancher/mirrored-pause:3.6\": failed to pull image \"rancher/mirrored-pause:3.6\": failed to pull and unpack image \"docker.io/rancher/mirrored-pause:3.6\": failed to resolve reference \"docker.io/rancher/mirrored-pause:3.6\": failed to do request: Head \"https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6\": dial tcp: lookup registry-1.docker.io: Try again"
Feb 21 00:06:47 control k3s[5865]: E0221 00:06:47.502121    5865 kuberuntime_sandbox.go:71] "Failed to create sandbox for pod" err="rpc error: code = Unknown desc = failed to start sandbox \"89bafcccb1518b3e7d2bcb27b906ecd1a8a01e7e2547755a1d164627bcad43a2\": failed to get sandbox image \"rancher/mirrored-pause:3.6\": failed to pull image \"rancher/mirrored-pause:3.6\": failed to pull and unpack image \"docker.io/rancher/mirrored-pause:3.6\": failed to resolve reference \"docker.io/rancher/mirrored-pause:3.6\": failed to do request: Head \"https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6\": dial tcp: lookup registry-1.docker.io: Try again" pod="kube-system/metrics-server-786d997795-stml5"
